State,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2,drinkability
Haryana,8.82,1115,96,329,71,43,12,0,260,8,58,152,1.4,0,669,12,0
Haryana,8.6,554,36,207,14,30,6.9,0,150,8,32,63,4.2,1.04,332.4,11,1
Haryana,8.78,1252,60,391,128,39,22,0,380,280,75,128,8.6,0.32,751.2,20,0
Haryana,8.8,577,36,244,21,6.24,2.7,0.17,110,16,17,89,0,0.61,346.2,19,0
Haryana,8.76,562,36,220,43,17,0.8,0,120,40,0,92.7,1.2,0.57,337.2,16,1
Haryana,8.08,1342,0,122,397,72,18,0,100,32,5,306,0,0.45,805.2,16,1
Haryana,8.93,1072,72,220,149,71,25,0,170,28,24,201,4.2,0.55,643.2,11,0
Haryana,6.95,437,0,158,78,42,2.8,0,130,28,15,70,5,0.61,262.2,12,1
Haryana,7.82,483,0,109,106,12,11,0,180,41,19,36.6,3.5,0.64,289.8,20,1
Haryana,8.54,467,48,122,78,0,2.3,0,110,32,7,84.2,2.6,0.55,280.2,20,1
Haryana,8.62,494,36,122,85,0,2.5,0,130,20,19,71.7,0,0.54,296.4,23,1
Haryana,8.04,348,0,122,57,25,1.7,0,70,20,5,64.7,0,0.53,208.8,28,1
Haryana,8.38,399,36,109,57,6,2.8,0,100,20,12,64.7,0,0.51,239.4,15,1
Haryana,8.4,333,24,159,21,9.1,0,0,140,28,17,32.8,2.5,0.5,199.8,11,1
Haryana,8.66,382,36,183,21,14,0,0,100,12,17,69.7,3.7,0.37,229.2,26,1
Haryana,8.8,2750,60,244,375,814,22,0,490,12,112,416,256,0.11,1650,28,0
Haryana,8.51,339,24,159,14,13,0,0,140,28,17,27.3,4.5,0.24,203.4,27,1
Haryana,8.64,1558,12,549,177,262,6.5,0,260,16,54,291,89,0.24,934.8,21,0
Haryana,8.43,575,12,134,71,57,21,0,150,28,19,73,1.4,0.5,345,28,1
Haryana,8.4,375,12,159,28,4.8,16,0,170,24,27,13.4,9.9,0.07,225,16,1
Haryana,8.63,400,36,159,21,33,0,0,110,16,17,67.2,1.6,0.32,240,18,1
